MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
06,07,SEA,LAS,2.235294117647059
06,07,SEA,LAX,-0.3888888888888889
06,07,SEA,ORD,-0.75
06,07,SEA,PDX,10.529411764705882
06,07,SEA,PHX,2.2244897959183674
06,07,SEA,SFO,10.890625
06,07,SEA,SJC,5.783783783783784
06,08,SEA,ANC,9.533333333333333
06,08,SEA,DEN,10
06,08,SEA,DFW,2.3
06,08,SEA,LAS,1
06,08,SEA,LAX,6.78494623655914
06,08,SEA,ORD,10.108695652173912
06,08,SEA,PDX,2.5625
06,08,SEA,PHX,6.574468085106383
06,08,SEA,SFO,37.15277777777778
06,08,SEA,SJC,14.945945945945946
06,09,SEA,ANC,9.1466666666666665
06,09,SEA,DEN,8.90625
06,09,SEA,DFW,4.625
